title,category,claude_disruption,claude_elasticity,claude_net_effect,opus_disruption,opus_elasticity,opus_net_effect,openai_disruption,openai_elasticity,openai_net_effect,gpt55_disruption,gpt55_elasticity,gpt55_net_effect,fable5_disruption,fable5_elasticity,fable5_net_effect,grok45_disruption,grok45_elasticity,grok45_net_effect
Political scientists,life-physical-and-social-science,7,4,replace,8,4,replace,6,4,resilient,8,4,replace,8,4,replace,8,4,replace
Postal service workers,office-and-administrative-support,4,1,resilient,3,2,resilient,3,2,resilient,4,3,resilient,4,2,resilient,4,2,resilient
Postsecondary education administrators,management,6,3,resilient,6,3,resilient,6,4,resilient,7,4,replace,6,3,resilient,7,4,replace
Postsecondary teachers,education-training-and-library,6,8,augment,6,5,resilient,6,7,augment,7,6,restructure,7,5,restructure,7,7,augment
"Power plant operators, distributors, and dispatchers",production,5,1,resilient,5,2,resilient,5,2,resilient,7,2,replace,5,2,resilient,5,3,resilient
Preschool and childcare center directors,management,4,2,resilient,3,3,resilient,4,3,resilient,5,3,resilient,4,3,resilient,5,4,resilient
Preschool teachers,education-training-and-library,4,8,resilient,2,3,resilient,3,5,resilient,4,6,resilient,2,3,resilient,3,5,resilient
Private detectives and investigators,protective-service,6,4,restructure,5,5,resilient,5,5,resilient,6,5,resilient,5,6,resilient,5,5,resilient
Probation officers and correctional treatment specialists,community-and-social-service,5,2,resilient,4,2,resilient,4,3,resilient,6,5,resilient,4,3,resilient,5,3,resilient
Producers and directors,entertainment-and-sports,6,8,augment,6,7,resilient,6,8,augment,7,8,augment,7,7,augment,7,8,augment
Property appraisers and assessors,business-and-financial,6,3,resilient,7,3,replace,6,5,resilient,7,3,replace,7,3,replace,7,4,replace
"Property, real estate, and community association managers",management,5,3,resilient,5,4,resilient,5,5,resilient,6,4,resilient,5,3,resilient,5,5,resilient
Psychiatric technicians and aides,healthcare,3,8,resilient,2,6,resilient,3,5,resilient,4,6,resilient,2,6,resilient,3,5,resilient
Psychologists,life-physical-and-social-science,6,8,augment,5,7,resilient,5,6,resilient,7,8,augment,6,8,resilient,7,8,augment
Public relations and fundraising managers,management,7,6,restructure,6,6,resilient,6,7,augment,7,6,restructure,7,5,restructure,7,7,augment
Public safety telecommunicators,office-and-administrative-support,6,2,resilient,6,2,resilient,6,4,resilient,7,2,replace,7,2,replace,7,3,replace
"Purchasing managers, buyers, and purchasing agents",business-and-financial,7,4,replace,7,3,replace,6,5,resilient,7,5,restructure,7,3,replace,7,5,restructure
Quality control inspectors,production,6,2,replace,5,3,resilient,5,3,resilient,6,4,resilient,7,3,replace,7,3,replace
Radiation therapists,healthcare,4,1,resilient,4,3,resilient,4,3,resilient,5,3,resilient,4,2,resilient,5,3,resilient
Radiologic and MRI technologists,healthcare,6,2,resilient,3,5,resilient,4,3,resilient,5,3,resilient,3,4,resilient,5,3,resilient
Railroad workers,transportation-and-material-moving,4,2,resilient,3,3,resilient,3,2,resilient,6,3,resilient,5,3,resilient,4,3,resilient
Real estate brokers and sales agents,sales,6,4,restructure,5,3,resilient,5,6,resilient,7,3,replace,6,2,resilient,6,4,resilient
Recreation workers,personal-care-and-service,3,6,resilient,2,4,resilient,3,5,resilient,3,5,resilient,2,4,resilient,3,5,resilient
Recreational therapists,healthcare,4,6,resilient,3,4,resilient,3,5,resilient,4,5,resilient,3,4,resilient,4,4,resilient
Registered nurses,healthcare,5,8,resilient,4,6,resilient,5,6,resilient,5,6,resilient,4,6,resilient,5,6,resilient
Rehabilitation counselors,community-and-social-service,5,7,resilient,4,5,resilient,4,3,resilient,6,5,resilient,4,4,resilient,5,6,resilient
Respiratory therapists,healthcare,4,3,resilient,3,4,resilient,4,5,resilient,5,5,resilient,3,5,resilient,5,5,resilient
Retail sales workers,sales,4,2,resilient,4,3,resilient,4,3,resilient,6,3,resilient,4,3,resilient,5,3,resilient
Sales engineers,sales,7,6,restructure,6,6,resilient,6,7,augment,7,6,restructure,6,5,resilient,7,6,restructure
Sales managers,management,6,5,resilient,6,5,resilient,6,7,augment,7,6,restructure,6,5,resilient,7,5,restructure
School and career counselors and advisors,community-and-social-service,6,8,augment,5,5,resilient,5,6,resilient,7,6,restructure,6,5,resilient,5,5,resilient
"Securities, commodities, and financial services sales agents",sales,7,4,replace,8,4,replace,7,5,restructure,8,5,restructure,7,4,replace,7,5,restructure
Security guards and gambling surveillance officers,protective-service,4,2,resilient,4,3,resilient,5,3,resilient,5,3,resilient,4,3,resilient,5,4,resilient
Semiconductor processing technicians,production,4,8,resilient,4,6,resilient,5,6,resilient,6,7,resilient,4,6,resilient,5,7,resilient
Set and exhibit designers,arts-and-design,7,6,restructure,7,6,restructure,6,5,resilient,7,5,restructure,6,4,resilient,7,6,restructure
Sheet metal workers,construction-and-extraction,3,2,resilient,3,4,resilient,3,3,resilient,3,4,resilient,2,4,resilient,3,4,resilient
Skincare specialists,personal-care-and-service,3,6,resilient,1,5,resilient,3,5,resilient,3,6,resilient,2,4,resilient,3,5,resilient
Social and community service managers,management,5,7,resilient,5,4,resilient,5,6,resilient,6,5,resilient,6,4,resilient,7,5,restructure
Social and human service assistants,community-and-social-service,4,8,resilient,4,5,resilient,4,6,resilient,6,5,resilient,5,6,resilient,5,6,resilient
Social workers,community-and-social-service,4,8,resilient,4,6,resilient,4,6,resilient,6,7,resilient,4,6,resilient,5,7,resilient
Sociologists,life-physical-and-social-science,7,6,restructure,7,4,replace,6,5,resilient,7,5,restructure,7,4,replace,7,5,restructure
Special education teachers,education-training-and-library,4,8,resilient,4,3,resilient,4,5,resilient,6,5,resilient,4,5,resilient,5,4,resilient
Special effects artists and animators,arts-and-design,8,7,augment,8,7,augment,8,7,augment,9,6,restructure,9,6,restructure,8,8,augment
Speech-language pathologists,healthcare,5,8,resilient,4,7,resilient,4,6,resilient,6,7,resilient,5,7,resilient,5,7,resilient
"Substance abuse, behavioral disorder, and mental health counselors",community-and-social-service,5,8,resilient,4,7,resilient,4,8,resilient,7,8,augment,5,9,resilient,5,8,resilient
Surgical assistants and technologists,healthcare,3,2,resilient,2,5,resilient,3,4,resilient,3,4,resilient,2,4,resilient,3,4,resilient
Survey researchers,life-physical-and-social-science,8,3,replace,8,3,replace,8,4,replace,8,4,replace,8,3,replace,8,5,restructure
Surveyors,architecture-and-engineering,6,3,resilient,5,5,resilient,5,4,resilient,6,4,resilient,5,4,resilient,5,4,resilient
"Tax examiners and collectors, and revenue agents",business-and-financial,8,2,replace,8,2,replace,7,3,replace,8,4,replace,8,3,replace,7,4,replace
"Taxi drivers, shuttle drivers, and chauffeurs",transportation-and-material-moving,9,3,replace,4,5,resilient,3,5,resilient,7,6,restructure,7,3,replace,7,4,replace
Teacher assistants,education-training-and-library,6,8,augment,3,4,resilient,4,3,resilient,5,5,resilient,4,5,resilient,5,4,resilient
Technical writers,media-and-communication,8,6,restructure,8,4,replace,8,5,restructure,8,5,restructure,8,4,replace,8,5,restructure
Telecommunications technicians,installation-maintenance-and-repair,3,2,resilient,3,4,resilient,3,3,resilient,3,4,resilient,3,4,resilient,3,4,resilient
Tellers,office-and-administrative-support,8,1,replace,6,1,resilient,9,2,replace,8,1,replace,8,1,replace,7,2,replace
Top executives,management,6,3,resilient,5,4,resilient,6,5,resilient,6,4,resilient,6,4,resilient,7,5,restructure
Tour and travel guides,personal-care-and-service,4,6,resilient,3,5,resilient,3,6,resilient,5,5,resilient,4,6,resilient,5,6,resilient
Training and development managers,management,7,6,restructure,6,6,resilient,6,7,augment,7,6,restructure,7,6,restructure,7,7,augment
Training and development specialists,business-and-financial,7,8,augment,7,7,augment,6,7,augment,7,7,augment,7,6,restructure,7,8,augment
"Transportation, storage, and distribution managers",management,6,4,resilient,5,5,resilient,6,7,augment,7,6,restructure,6,5,resilient,7,5,restructure
Travel agents,sales,8,3,replace,8,4,replace,7,4,restructure,8,4,replace,8,3,replace,8,3,replace
"Umpires, referees, and other sports officials",entertainment-and-sports,3,2,resilient,3,5,resilient,3,5,resilient,5,3,resilient,3,3,resilient,3,3,resilient
Urban and regional planners,life-physical-and-social-science,7,4,replace,6,4,resilient,6,5,resilient,6,5,resilient,6,4,resilient,7,5,restructure
Veterinarians,healthcare,5,7,resilient,4,6,resilient,4,5,resilient,5,6,resilient,4,6,resilient,5,6,resilient
Veterinary assistants and laboratory animal caretakers,healthcare,4,6,resilient,2,5,resilient,3,5,resilient,3,5,resilient,1,6,resilient,3,5,resilient
Veterinary technologists and technicians,healthcare,5,6,resilient,3,6,resilient,4,5,resilient,4,6,resilient,3,6,resilient,5,6,resilient
Waiters and waitresses,food-preparation-and-serving,4,2,resilient,2,3,resilient,3,2,resilient,4,4,resilient,2,4,resilient,3,3,resilient
Water and wastewater treatment plant and system operators,production,4,2,resilient,4,2,resilient,5,3,resilient,5,1,resilient,4,2,resilient,5,2,resilient
Water transportation workers,transportation-and-material-moving,3,2,resilient,3,3,resilient,3,2,resilient,4,3,resilient,3,3,resilient,3,4,resilient
Web developers and digital designers,computer-and-information-technology,8,8,augment,9,7,augment,8,8,augment,9,7,augment,9,6,restructure,8,8,augment
"Welders, cutters, solderers, and brazers",production,3,4,resilient,2,4,resilient,2,3,resilient,4,4,resilient,3,4,resilient,3,4,resilient
Wholesale and manufacturing sales representatives,sales,6,4,restructure,6,4,resilient,6,5,resilient,7,4,replace,7,4,replace,7,5,restructure
Wind turbine technicians,installation-maintenance-and-repair,3,8,resilient,2,8,resilient,2,7,resilient,4,5,resilient,2,6,resilient,3,6,resilient
Woodworkers,production,3,4,resilient,3,4,resilient,3,2,resilient,4,4,resilient,3,4,resilient,3,3,resilient
Writers and authors,media-and-communication,8,7,augment,9,5,restructure,8,7,augment,9,6,restructure,9,3,replace,8,8,augment
